"CNumber","Inhibitor","Brutto","MW","Action","Reference","Reference 2","PMID2","Patent","Commercial Vendor","CAS","InChI","InChI Key","PubChem CID","SMILES","Alt Name"
"154","AG1478 (Tyrphostin)","C16H14ClN3O2","315.75","EGFR","Osherov N. (1994) A. Eur. J. Biochem. 225 1047","","","","Merck (Calbiochem)","153436-53-4","InChI=1S/C16H14ClN3O2/c1-21-14-7-12-13(8-15(14)22-2)18-9-19-16(12)20-11-5-3-4-10(17)6-11/h3-9H,1-2H3,(H,18,19,20)","GFNNBHLJANVSQV-UHFFFAOYSA-N","2051","COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC","AG 1478      , AG-1478 hydrochloride, AG-1478, Tyrphostin AG 1478       "
"7","AG490","C17H14N2O3","294.3","EGFR, JAK","Jaleel M.  (2004) Biochemistry 43 8247 ","Eriksen K.W. (2001) Leukemia 15 787","11368440","WO2004052359","Merck (Calbiochem)","133550-30-8","InChI=1S/C17H14N2O3/c18-10-14(8-13-6-7-15(20)16(21)9-13)17(22)19-11-12-4-2-1-3-5-12/h1-9,20-21H,11H2,(H,19,22)/b14-8+","TUCIOBMMDDOEMM-RIYZIHGNSA-N","5328779","C1=CC=C(C=C1)CNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N","Tyrphostin B42, AG-490, Tyrphostin AG 490"
"8","AG879 (Tyrphostin)","C18H24N2OS","316.5","Tyrosine-kinases","Konrad R.J.  (1996) J. Biol. Chem. 271 24179","Levitzki A. Gazit A. (1995) Science 267 1782","7892601","WO2003068927","Merck (Calbiochem)","148741-30-4","InChI=1S/C18H24N2OS/c1-17(2,3)13-8-11(7-12(10-19)16(20)22)9-14(15(13)21)18(4,5)6/h7-9,22H,20H2,1-6H3/b16-12+","LCUMYVYIHXYBIA-FOWTUZBSSA-N","5487525","CC(C)(C)C1=CC(=CC(=C(N)S)C#N)C=C(C1=O)C(C)(C)C","Tyrphostin Ag-879, AC1NUPK6, Lopac-T-2067, BMK1-D4, AG 879 , AG-879 "
"148","Akt Inhibitor IV","C31H27IN4S","614.6","Akt","Kau T. R. (2003) Cancer Cell 4 463","","","","Merck (Calbiochem)","681281-88-9","InChI=1S/C31H27N4S.HI/c1-3-34-28-22-23(31-32-26-16-10-11-17-29(26)36-31)18-19-27(28)35(25-14-8-5-9-15-25)30(34)20-21-33(2)24-12-6-4-7-13-24;/h4-22H,3H2,1-2H3;1H/q+1;/p-1","NAYRELMNTQSBIN-UHFFFAOYSA-M","5719375","CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)C=CN(C)C6=CC=CC=C6.[I-]","Akt Inhibitor, HMS2841D06"
"9","Akti 1/2","C34H29N7O","551.6","Akt1, Akt2","Logie L. (2007) Diabetes 2218-27","Barnett S.F. (2005) Biochem. J. 385 399","15456405","WO2013147649","Merck (Calbiochem)","612847-09-3","InChI=1S/C34H29N7O/c42-34-39-26-8-4-5-9-31(26)41(34)25-14-16-40(17-15-25)20-22-10-12-24(13-11-22)33-32(23-6-2-1-3-7-23)37-29-18-27-28(36-21-35-27)19-30(29)38-33/h1-13,18-19,21,25H,14-17,20H2,(H,35,36)(H,39,42)","BIWGYFZAEWGBAL-UHFFFAOYSA-N","10196499","C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=NC6=CC7=C(C=C6N=C5C8=CC=CC=C8)N=CN7","Akt inhibitor VIII, Akti-1/2, Akt Inhibitor VIII, Isozyme-Selective, Akti-1/2, Imidazoquinoxaline 16h, SureCN2193282, MLS003509084"
"10","Alsterpaullone","C16H11N3O3","293.3","GSK3b, CDK5/p25, CDK1/cyclin B","Leost M.  (2000) Eur. J. Biochem. 267 5983","Schultz C. (1999) J. Med. Chem. 42 2909","10425100","EP20050109789","Merck (Calbiochem)","237430-03-4","InChI=1S/C16H11N3O3/c20-15-8-12-11-7-9(19(21)22)5-6-14(11)18-16(12)10-3-1-2-4-13(10)17-15/h1-7,18H,8H2,(H,17,20)","OLUKILHGKRVDCT-UHFFFAOYSA-N","5005498","C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)[N+](=O)[O-]","Kinome_3754, Paullone Analog 1, MLS002702475, NSC 705701, AC1NMCUD"
"219","Amgen TBK 1 inhibitor (Compound II)","C28H35N7O4","533.62","TBK1","Ou Y.H. (2011) Molecular Cell 41 458-470","","","","","","InChI=1S/C28H35N7O4/c1-33-11-13-34(14-12-33)10-5-15-39-25-17-21(16-24(37-3)26(25)38-4)31-28-29-18-20-19-30-35(27(20)32-28)22-6-8-23(36-2)9-7-22/h6-9,16-19H,5,10-15H2,1-4H3,(H,29,31,32)","PVQUVXVUIZZLMP-UHFFFAOYSA-N","","CN1CCN(CC1)CCCOc2cc(cc(c2OC)OC)Nc3ncc4cnn(c4n3)c5ccc(cc5)OC","SHN-1461, SHN1461, SHN 1461"
"310","Amgen-NIK-28","C20H20N4O","332.4","NIK","Li K. (2013) Bioorganic and Medicinal Chemistry Letters 23 1238-1244","","","","","","InChI=1S/C20H20N4O/c1-20(2,25)9-8-12-6-7-15-14(10-12)17-16(23-15)5-3-4-13-11-22-19(21)24-18(13)17/h6-7,10-11,23,25H,3-5H2,1-2H3,(H2,21,22,24)","DGLFSNZWRYADFC-UHFFFAOYSA-N","","CC(C)(C#Cc1ccc2c(c1)c-3c([nH]2)CCCc4c3nc(nc4)N)O","SHN-1-864"
"311","Amlexanox","C16H14N2O4 ","298.293","TBK1, IKKe","","","","","Tocris","68302-57-8","InChI=1S/C16H14N2O4/c1-7(2)8-3-4-12-9(5-8)13(19)10-6-11(16(20)21)14(17)18-15(10)22-12/h3-7H,1-2H3,(H2,17,18)(H,20,21)","SGRYPYWGNKJSDL-UHFFFAOYSA-N","2161","O=C1c3cc(ccc3Oc2nc(c(cc12)C(=O)O)N)C(C)C","Aphthasol"
"11","ARA014418","C12H12N4O4S","308.3","GSK3","Noble W.  (2005) Proc. Natl. Acad. Sci. USA 102 6990","Bhat R. (2003) J. Biol. Chem. 278 45937","12928438","WO2013124413","Sigma","487021-52-3","InChI=1S/C12H12N4O4S/c1-20-9-4-2-8(3-5-9)6-13-11(17)15-12-14-7-10(21-12)16(18)19/h2-5,7H,6H2,1H3,(H2,13,14,15,17)","YAEMHJKFIIIULI-UHFFFAOYSA-N","448014","COC1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]","SHN-109, GSK-3beta Inhibitor VIII, Kinome_1268, AC1L9LI6, AR-A014418, ARA 014418, ARA-014418"
"12","AS601245 (JNK Inhibitor V)","C20H16N6S","372.5","JNK","Gaillard P.  (2005) J. Med. Chem. 48 4596","Carboni S. (2005) J. Neurochem. 92 1054","15715656","WO2013152038","Merck (Calbiochem)","345987-15-7","InChI=1S/C20H16N6S/c21-12-15(19-25-17-5-1-2-6-18(17)27-19)16-8-11-24-20(26-16)23-10-7-14-4-3-9-22-13-14/h1-6,8-9,11,13,25H,7,10H2,(H,23,24,26)/b19-15+","AVLYNJZZQYEFEA-XDJHFCHBSA-N","11422035","C1=CC=C2C(=C1)NC(=C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4)S2","SHN-315, JNK Inhibitor V, AS 601245, AS-601245"
"182","AX 20017","C13H16N2O2S","264.34","PknG","Walburger A (2004) Science 304 1800-1804    ","","","","Merck Millipore","329221-38-7","InChI=1S/C13H16N2O2S/c14-11(16)10-8-3-1-2-4-9(8)18-13(10)15-12(17)7-5-6-7/h7H,1-6H2,(H2,14,16)(H,15,17)","VATFNEMGBRWLHI-UHFFFAOYSA-N","673481","C1CCC2=C(C1)C(=C(S2)NC(=O)C3CC3)C(=O)N","SHN-1282, SHN1282, SHN 1282, AX20017, AX-20017, F03170046, F0317 0046, F0317-0046"
"212","AZD8055","C25H31N5O4","465.5","mTOR C1, mTOR C2","Chresta C.M. (2010) Cancer Res. 70 288-298","Sini P. (2010) Autophagy 6(4)","20364113","","Selleck","1009298-09-2","InChI=1S/C25H31N5O4/c1-16-14-33-10-8-29(16)24-20-5-6-21(18-4-7-22(32-3)19(12-18)13-31)26-23(20)27-25(28-24)30-9-11-34-15-17(30)2/h4-7,12,16-17,31H,8-11,13-15H2,1-3H3/t16-,17-/m0/s1","KVLFRAWTRWDEDF-IRXDYDNUSA-N","25262965","CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C","AZ5, AZD-8055, AZD 8055"
"280","BAY 61-3606","C20H18N6O3 · xHCl · yH2O","390.40","Syk","Yamamoto N. (2003) J. Pharmacol. Exp. Ther. 306 1174-1181","","","","Sigma","732983-37-8","InChI=1S/C20H18N6O3/c1-28-15-6-5-12(10-16(15)29-2)14-11-17-22-8-9-26(17)20(24-14)25-19-13(18(21)27)4-3-7-23-19/h3-11H,1-2H3,(H2,21,27)(H,23,24,25)","JWQOJVOKBAAAAR-UHFFFAOYSA-N","10200390","COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC",""
"14","Bay 65-1942","C22H26ClN3O4","431.91","IKKb","Ziegelbauer K. (2005) British Journal of Pharmacology 145 178-192 (compound A)","Moss N.C. (2007) Am J Physiol Heart Circ Physiol 293 H2248-53","17675566","","AdooQ Bioscience","600734-06-3","InChI=1S/C22H25N3O4.ClH/c26-18-4-1-5-19(28-11-13-6-7-13)20(18)17-9-15(14-3-2-8-23-10-14)16-12-29-22(27)25-21(16)24-17;/h1,4-5,9,13-14,23-24H,2-3,6-8,10-12H2,(H,25,27);1H/b20-17-;/t14-;/m1./s1","KSTOJOVDFHFWCE-VHNKIRJFSA-N","66575052","C1CC(CNC1)C2=CC(=C3C(=O)C=CC=C3OCC4CC4)NC5=C2COC(=O)N5.Cl","SHN-744, Bay 65-1942 HCl salt, CS-0623, HY-50948, Bay651942"
"15","BAY-11-7082","C10H9NO2S","207.2","NFKBIA","Kamthong P.J. (2001) Biochem. J. 356","Izban K.F. (2000) Hum. Pathol. 31 1482","11150373","WO2003072038","Merck (Calbiochem)","19542-67-7","InChI=1S/C10H9NO2S/c1-9-3-5-10(6-4-9)14(12,13)8-2-7-11/h2-6,8H,1H3/b8-2+","DOEWDSDBFRHVAP-KRXBUXKQSA-N","5353431","CC1=CC=C(C=C1)S(=O)(=O)C=CC#N","bay 11-7082, CHEMBL403183, ST50036097, (E)-3-Tosylacrylonitrile, BAY117082"
"16","BAY439006 (Sorafenib, Nexavar)","C21H16ClF3N4O3","464.8","Raf","Lyons J.F. (2001) Endocrine Related Cancer 8 3 219-225","Wilhelm S.M. (2004) Cancer Res. 64(19) 7099-109","15466206","WO2002085857","Axon","284461-73-0","InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)","MLDQJTXFUGDVEO-UHFFFAOYSA-N","216239","CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F","sorafenibum, Kinome_766, AC1L50CF, CHEMBL1336, BAY-439006, BAY 439006"
"17","BI 2536","C28H39N7O3","521.65","PLK1","Steegmaier M. (2007) Current Biology 17 316-322","","","","Axon","755038-02-9","InChI=1S/C28H39N7O3/c1-5-22-27(37)34(3)23-17-29-28(32-25(23)35(22)20-8-6-7-9-20)31-21-11-10-18(16-24(21)38-4)26(36)30-19-12-14-33(2)15-13-19/h10-11,16-17,19-20,22H,5-9,12-15H2,1-4H3,(H,30,36)(H,29,31,32)/t22-/m1/s1","XQVVPGYIWAGRNI-JOCHJYFZSA-N","11364421","CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C","SHN-620, BI2536, BI-2536, S1109_Selleck, CHEBI:49868"
"131","BI-78D3","C13H9N5O5S2","379.37","JNK","Stebbins J.L. (2008) PNAS 105 16809-16813","","","","Merck (Calbiochem)","883065-90-5","InChI=1S/C13H9N5O5S2/c19-11-15-16-12(25-13-14-6-10(24-13)18(20)21)17(11)7-1-2-8-9(5-7)23-4-3-22-8/h1-2,5-6H,3-4H2,(H,15,19)","QFRLDZGQEZCCJZ-UHFFFAOYSA-N","2747117","C1COC2=C(O1)C=CC(=C2)N3C(=O)NN=C3SC4=NC=C(S4)[N+](=O)[O-]","SHN-864"
"18","BI-D-1870","C19H23N5O2F2","391.42","RSK","Sapkota G.P.  (2007) Biochem. J. 401 29–38","","","WO2003020722","Axon","501437-28-1","InChI=1S/C19H23F2N5O2/c1-10(2)5-6-26-11(3)18(28)25(4)15-9-22-19(24-17(15)26)23-12-7-13(20)16(27)14(21)8-12/h7-11,27H,5-6H2,1-4H3,(H,22,23,24)","DTEKTGDVSARYDS-UHFFFAOYSA-N","25023738","CC1C(=O)N(C2=CN=C(N=C2N1CCC(C)C)NC3=CC(=C(C(=C3)F)O)F)C","SHN-517, BI-D1870, CHEMBL573107, MolPort-008-266-821, SureCN13881333, BID1870, BI D 1870"
"201","BI605906 (BIX02514)","C17H22F2N4O3S2","432.51","IKKβ","Clark K. (2011) Biochem. J. 434 93-104","","","","","960293-88-3","InChI=1S/C17H22F2N4O3S2/c1-3-17(18,19)10-8-11(23-6-4-9(5-7-23)28(2,25)26)22-16-12(10)13(20)14(27-16)15(21)24/h8-9H,3-7,20H2,1-2H3,(H2,21,24)","IYHHRZBKXXKDDY-UHFFFAOYSA-N","","CCC(c1cc(nc2c1c(c(s2)C(=O)N)N)N3CCC(CC3)S(=O)(=O)C)(F)F","SHN-1330, BIXO, BI-605906, BIX-02514, BI 605906, BI 605906"
"19","BIO (6-Bromoindirubin-3'-oxime)","C16H10BrN3O2","356.2","GSK3","Tseng A.S.  (2006) Chem. Biol. 13 957","Polychronopoulos P. (2004) J. Med. Chem. 47 935","14761195","WO2007016485","Sigma","667463-62-9","InChI=1S/C16H10BrN3O2/c17-8-5-6-9-12(7-8)19-16(21)13(9)15-14(20-22)10-3-1-2-4-11(10)18-15/h1-7,20,22H,(H,19,21)/b15-13-","WNWSUJQVZJJGLF-SQFISAMPSA-N","5287844","C1=CC2=C(C(=C3C4=C(C=C(C=C4)Br)NC3=O)N=C2C=C1)NO","GSK-3 Inhibitor IX, AC1NRAET, BRW"
"20","BIRB-0796 (Doramapimod)","C31H37N5O3   ","527.66","p38 MAPK","Regan J. (2002) J. Med. Chem 45 2994-3008","","","WO2004014387","Axon","285983-48-4","InChI=1S/C31H37N5O3/c1-22-9-11-23(12-10-22)36-29(21-28(34-36)31(2,3)4)33-30(37)32-26-13-14-27(25-8-6-5-7-24(25)26)39-20-17-35-15-18-38-19-16-35/h5-14,21H,15-20H2,1-4H3,(H2,32,33,37)","MVCOAUNKQVWQHZ-UHFFFAOYSA-N","156422","CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5","SHN-059, BIRB-796, BIRB 0796, BIRB796, Kinome_2137, S1574_Selleck"
"21","Blebbistatin","C18H16N2O2","292.3","myosin II","Shu S. (2005) Proc. Natl. Acad. Sci. USA 102 1472","Kovacs M. (2004) J. Biol. Chem. 279 35557","15205456","WO2012062819","Merck (Calbiochem)","674289-55-5","InChI=1S/C18H16N2O2/c1-12-7-8-15-14(11-12)16(21)18(22)9-10-20(17(18)19-15)13-5-3-2-4-6-13/h2-8,11,22H,9-10H2,1H3","LZAXPYOBKSJSEX-UHFFFAOYSA-N","3476986","CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O","AC1MQHTO"
"176","BML-258 (SK1-I)","C17H28ClNO2","313.86","SphK1","Paugh S.W. (2008) Blood  112 1382-1391","","","","SuperNova Life Science","1072443-89-0","InChI=1S/C17H27NO2.ClH/c1-3-4-5-6-14-7-9-15(10-8-14)11-12-17(20)16(13-19)18-2;/h7-12,16-20H,3-6,13H2,1-2H3;1H/b12-11+;/t16-,17+;/m1./s1 ","SGCJOKUPGVFNKS-UUCPMUBFSA-N","","CCCCCc1ccc(cc1)/C=C/[C@@H]([C@@H](CO)NC)O.Cl","SHN-1272, SHN 1272, SHN1272"
"22","BMS345541 (IKK Inhibitor III)","C14H17N5","255.32","IKBKB","Du Z. (2012) J Interferon Cytokine Res. 368-77","","","DE4329970","Merck (Calbiochem)","547757-23-3","InChI=1S/C14H17N5.ClH/c1-9-3-4-11-12(7-9)19-10(2)8-17-14(19)13(18-11)16-6-5-15;/h3-4,7-8H,5-6,15H2,1-2H3,(H,16,18);1H","MIDKPVLYXNLFGZ-UHFFFAOYSA-N","9926054","CC1=CC2=C(C=C1)N=C(C3=NC=C(N23)C)NCCN.Cl","SHN-012, BMS-345541  , CHEMBL471496, BMS 345541 hydrochloride, SureCN14141907"
"329","Bosutinib","C26H29Cl2N5O3   ","530.45","src","Vultur A. Mol Cancer Ther. (2008) 1185-94","","","WO2013024144","Cayman Chemical","380843-75-4","InChI=1S/C26H29Cl2N5O3/c1-32-6-8-33(9-7-32)5-4-10-36-25-13-21-18(11-24(25)35-3)26(17(15-29)16-30-21)31-22-14-23(34-2)20(28)12-19(22)27/h11-14,16H,4-10H2,1-3H3,(H,30,31)","UBPYILGKFZZVDX-UHFFFAOYSA-N","5328940","CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC","SKI606, SKI-606, SKI 606"
"373","BTX 161","C15H16N2O3","272.3","CK1a-PHM inhibitor","","","","","Small Molecules Co-targeting CKIα and the Transcriptional Kinases CDK7/9 Control AML in Preclinical Models.","","","","","","SHN-2840"
"23","BX-320","C23H31BrN8O3","547.45","PDK1","Feldman R.I. (2005) Journal of Biological Chemistry 280 19867-19874","","","WO2004048343","SuperNova Life Science","702676-93-5","InChI=1S/C23H31BrN8O3/c1-23(2,19(25)33)20(34)27-10-6-9-26-18-17(24)14-28-21(31-18)29-15-7-5-8-16(13-15)30-22(35)32-11-3-4-12-32/h5,7-8,13-14H,3-4,6,9-12H2,1-2H3,(H2,25,33)(H,27,34)(H,30,35)(H2,26,28,29,31)","ZNSULAZTNWFKEW-UHFFFAOYSA-N","657138","CC(C)(C(=O)N)C(=O)NCCCNC1=NC(=NC=C1Br)NC2=CC(=CC=C2)NC(=O)N3CCCC3","SHN-314C, BX320, AC1LCW3A, LI8, SureCN3871286, CHEBI:47538, BX 320"
"24","BX-517","C15H14N4O2","282.3","PDK1","Islam I. (2007) Bioorganic and Medicinal Chemistry Letters 17 3814-3818","","","CN102639566","EMD Millipore","","InChI=1S/C15H14N4O2/c1-8(11-3-2-6-17-11)13-10-7-9(18-15(16)21)4-5-12(10)19-14(13)20/h2-7,17H,1H3,(H,19,20)(H3,16,18,21)/b13-8-","DFURSNCTQGJRRX-JYRVWZFOSA-N","11161844","CC(=C1C2=C(C=CC(=C2)NC(=O)N)NC1=O)C3=CC=CN3","SHN-703, DNC007529, CHEMBL228654, SureCN5567818, BX517, BX 517"
"25","BX-517 Analog (compound 7b)","C19H15N5O2","345.35","PDK1","Islam I. (2007) Bioorganic and Medicinal Chemistry Letters 17 3819-3825","","","","","","InChI=1S/C19H15N5O2/c20-19(26)23-13-3-4-17-15(7-13)16(18(25)24-17)8-14-6-12(10-22-14)11-2-1-5-21-9-11/h1-10,22H,(H,24,25)(H3,20,23,26)/b16-8-","XROQQHOCADBSBW-PXNMLYILSA-N","11588244","c1cc(cnc1)c2cc([nH]c2)/C=C\3/c4cc(ccc4NC3=O)NC(=O)N","SHN-731, BX 517, BX517, SureCN3470757 , Indolinone based compound"
"26","BX-795","C23H26IN7O2S","591.47","PDK1","Feldman R.I. (2005) Journal of Biological Chemistry 280 19867-19874","","","WO2004048343","Axon","702675-74-9","InChI=1S/C23H26IN7O2S/c24-18-15-27-22(30-20(18)25-9-5-10-26-21(32)19-8-4-13-34-19)28-16-6-3-7-17(14-16)29-23(33)31-11-1-2-12-31/h3-4,6-8,13-15H,1-2,5,9-12H2,(H,26,32)(H,29,33)(H2,25,27,28,30)","VAVXGGRQQJZYBL-UHFFFAOYSA-N","10077147","C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I","SHN-535, BX795, SureCN3865995, CHEMBL577784, cc-617, BX 795"
"320","BX-912","C20H23BrN8O","471.35","PDK","Feldman RI. (2005) J. Biol. Chem. 2005 May 20 280(20) 19867-74","","","","Axon","702674-56-4","InChI=1S/C20H23BrN8O/c21-17-12-24-19(28-18(17)23-7-6-16-11-22-13-25-16)26-14-4-3-5-15(10-14)27-20(30)29-8-1-2-9-29/h3-5,10-13H,1-2,6-9H2,(H,22,25)(H,27,30)(H2,23,24,26,28)","DMMILYKXNCVKOJ-UHFFFAOYSA-N","11754511","C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCC4=CN=CN4)Br","BX 912, BX912"
"136","Caffeine","C8H10N4O2","194.19","ATM","Islam M.S. (1998) Proc. Natl. Acad. Sci. USA 95 6145-6150","","","","Sigma","58-08-2","InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3","RYYVLZVUVIJVGH-UHFFFAOYSA-N","2519","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","Guaranine, Caffein"
"312","CAY10576","C22H19N3O5S2","469.5","IKKe","","","","","Cayman","862812-98-4","InChI=1S/C22H19N3O5S2/c1-28-17-8-15-16(9-18(17)29-2)25(13-24-15)22-10-19(20(11-23)31-22)30-12-14-6-4-5-7-21(14)32(3,26)27/h4-10,13H,12H2,1-3H3","LDTAHRLHGHFHKP-UHFFFAOYSA-N","11626927","CS(C1=C(COC2=C(C#N)SC(N3C=NC4=CC(OC)=C(OC)C=C43)=C2)C=CC=C1)(=O)=O","GSK319347A, IKK-3 Inhibitor"
"279","CCT250862","","","NEK","","","","","","","","","","",""
